date,state,positive,negative,pending,currentlyHospitalized,cumulativeHospitalized,currentlyInIcu,cumulativeInIcu,currentlyOnVentilator,cumulativeOnVentilator,recovered,death,hash,dateChecked,totalTestResults,total,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200328,CO,1734,9942,,,239,,,,,,31,f037d678ba03ae058e19e23ff793cc5ccd5a8c0f,2020-03-28T20:00:00Z,11676,11676,08,7,0,1250,304,1554
20200328,CT,1291,7109,,,173,,,,,,27,2a0c9f78d0c1f925ab381bf16d9cebd151aefb94,2020-03-28T20:00:00Z,8400,8400,09,0,0,0,0,0
20200328,DC,304,2211,1,,,,,,,51,4,5cebbd52136752e2fb6041fab73741414b425331,2020-03-28T20:00:00Z,2515,2516,11,1,0,314,37,351
20200328,DE,214,36,,,31,,,,,9,3,fc98732cb6333cab3724380f6771c64563607e1b,2020-03-28T20:00:00Z,250,250,10,1,0,0,51,51
20200328,FL,3763,35366,,,526,,,,,,54,2d4adaf2a2260efff1cab056c633c340eeb6917a,2020-03-28T20:00:00Z,39129,39129,12,20,0,7180,998,8178
20200328,GA,2366,8685,,,617,,,,,,69,bc66d6eb6702d187000b8571aaa594caf0158e06,2020-03-28T20:00:00Z,11051,11051,13,5,0,821,365,1186
20200328,GU,55,299,,,15,,,,,7,1,71831d3b6e916f6cbb25b97efcb4917ee90ab60e,2020-03-28T20:00:00Z,354,354,66,0,0,0,4,4
20200328,HI,120,4357,3,,8,,,,,,0,e2c441dd59a38ea45c47ced2f4614495cf52822b,2020-03-28T20:00:00Z,4477,4480,15,0,0,0,14,14
20200328,IA,298,4375,,46,61,,,,,15,3,874e3d18764c63800e0cb0fd1601246944c85f33,2020-03-28T20:00:00Z,4673,4673,19,0,0,635,63,698
20200328,ID,230,3342,,,25,,,,,,4,b39f940792579e724b6c9b779b04e6dc83f518b1,2020-03-28T20:00:00Z,3572,3572,16,1,0,674,41,715
20200328,IL,3491,22000,,,,,,,,,47,8ecd9282d25e4ec39047bbc9016a2d3c5ab595d8,2020-03-28T20:00:00Z,25491,25491,17,13,0,3484,465,3949
20200328,IN,1232,7175,,,,,,,,,31,2b85a041d9b028dfc204b0e966840f0a04fc717c,2020-03-28T20:00:00Z,8407,8407,18,7,0,1220,251,1471
20200328,KS,261,3671,,,27,,,,,,5,5bd86f478a018ae27a94e435fbcd6cb54685ffca,2020-03-28T20:00:00Z,3932,3932,20,1,0,442,59,501
20200328,KY,302,4821,,,,,,,,,8,1bb459d177cbe1ba3688bd875e41e88f1d5a9e66,2020-03-28T20:00:00Z,5123,5123,21,2,0,1053,54,1107
20200328,LA,3315,21846,,,927,,,,336,,137,5d586f17a882dc08819c19000c9a17dce6031dbd,2020-03-28T20:00:00Z,25161,25161,22,18,0,3233,569,3802
20200328,MA,4257,30792,,,350,,,,,,44,09045689bd6d0a3da4e963621cbe83bb27dbfc4a,2020-03-28T20:00:00Z,35049,35049,25,9,0,4661,1017,5678
20200328,MD,992,11516,,,226,,,,,,5,05b89216e03ef72379461be279d4ad7b8836aef1,2020-03-28T20:00:00Z,12508,12508,24,0,0,11422,218,11640
20200328,ME,211,3394,,,,,,,,36,1,e974275ae03bb154df61f640c182a1f39fb9438e,2020-03-28T20:00:00Z,3605,3605,23,0,0,0,43,43
20200328,MI,3657,9109,,,,,,,,,92,c50a4b25ff5c286743e40939afd55b7a6de1a60e,2020-03-28T20:00:00Z,12766,12766,26,0,0,2559,0,2559
20200328,MN,441,15688,,30,57,,17,,,220,5,ea94b9183472bd2714c544998d626960d64fd835,2020-03-28T20:00:00Z,16129,16129,27,1,0,2083,43,2126
20200328,MO,838,10082,,,,,,,,,10,0327353e1223dd60364ad99448a36dc07ac9823e,2020-03-28T20:00:00Z,10920,10920,29,2,0,9713,169,9882
20200328,MP,2,,,,,,,,,,,8e755bc2e8c0c106c27794cb31996cc57b90e10a,2020-03-28T20:00:00Z,2,2,69,0,0,0,2,2
20200328,MS,663,2560,,,219,,,,,,13,953d81a85d1d0b81b625d85a92f82dcdc4bf2a21,2020-03-28T20:00:00Z,3223,3223,28,5,0,0,84,84
